GEO,Bases,Downloads,Instrument_model,Library_layout,Library_strategy,Organism,Organization,SRA,Source,Title,Sample_characteristics,Tissue,Public_Time,Submission_Time,Pubmed,Authors,Ftp,Md5,Bisulfite_conversion_rate
GSM1091961,91.6G,58.3Gb,Illumina HiSeq 2000,PAIRED,WGBS,Homo sapiens,Baylor College of Medicine,"SRR771401,SRR771402,SRR771403",Hair follicle;tissue: Hair follicle,C01-HF_Bisulfite-seq,Hair_follicle,Hair_follicle,2014-01-06,2013-03-01,24391148,Waterland RA,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771401/SRR771401_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771401/SRR771401_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771402/SRR771402_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771402/SRR771402_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771403/SRR771403_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771403/SRR771403_2.fastq.gz","c564849d8a3ab37848bf731272b1b1f5,ece5a9997c0ba2d842b628037e21cc94,5de6dd7034c4234dad58c43941232ba4,070c9de2791cc91ced0e5e8d11ca63d0,b52dd505fd2ea47641ed5b6fc3f6e219,0f5ba6e1ed01382e0965a6e0b6af2ba2",99.45
GSM1091962,84.7G,53.3Gb,Illumina HiSeq 2000,PAIRED,WGBS,Homo sapiens,Baylor College of Medicine,"SRR771406,SRR771405,SRR771404",Hair follicle;tissue: Hair follicle,C02-HF_Bisulfite-seq,Hair_follicle,Hair_follicle,2014-01-06,2013-03-01,24391148,Waterland RA,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771406/SRR771406_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771406/SRR771406_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771405/SRR771405_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771405/SRR771405_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771404/SRR771404_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771404/SRR771404_2.fastq.gz","db3b5281b4786f050911e393a1977fc5,0b8c9616fd28d6a28245530d207a0032,b907a14b36198873269da0fdcca848c0,94895b218d4fb0def7991b1b86a999bd,fa6d8a6158679b549aac531fe0abc029,c5145ef909f6fa6c98820ea48aed3b0b",99.42
GSM1091963,80.7G,50.2Gb,Illumina HiSeq 2000,PAIRED,WGBS,Homo sapiens,Baylor College of Medicine,"SRR771407,SRR771408,SRR771409",Peripheral blood lymphocyte;tissue: Peripheral blood lymphocyte,C01-PBL_Bisulfite-seq,Peripheral_blood_lymphocyte,Blood,2014-01-06,2013-03-01,24391148,Waterland RA,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771407/SRR771407_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771407/SRR771407_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771408/SRR771408_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771408/SRR771408_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771409/SRR771409_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771409/SRR771409_2.fastq.gz","3f2d9a99367da9b71c1531c542b22f16,71bf3484114c9b7dbef71f291d9cd08a,af2b685681530c87c66199b9515120b8,2f39ddcda403e793cfcc02285e4f0019,7feff937dbf6324d8c6699a82f1d0c8f,61eace632520d7ee901136663f44889d",99.35
GSM1091964,82.3G,50.9Gb,Illumina HiSeq 2000,PAIRED,WGBS,Homo sapiens,Baylor College of Medicine,"SRR771412,SRR771411,SRR771410",Peripheral blood lymphocyte;tissue: Peripheral blood lymphocyte,C02-PBL_Bisulfite-seq,Peripheral_blood_lymphocyte,Blood,2014-01-06,2013-03-01,24391148,Waterland RA,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771412/SRR771412_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771412/SRR771412_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771411/SRR771411_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771411/SRR771411_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771410/SRR771410_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR771/SRR771410/SRR771410_2.fastq.gz","0ae87797ca2c1050e78d2474c7f1fc5d,11fa422ffd2dd2d83e2365a744024480,4bb21e31a0eb06e55afcb8961f56e42d,b59dab5475e3b0bc47ae29c219736fa9,a28d3eab8c6de335e27416693c81ba2e,83dbad5610669c0b8fa14453389168a6",99.39
GSM1112820,135.6G,88.7Gb,Illumina HiSeq 2000,SINGLE,WGBS,Homo sapiens,Broad Institute,"SRR1067550,SRR1067551,SRR1067556,SRR1067552","CD56+ ectodermal germ layer cells derived in vitro from embrionic stem cells by culture in the presence of inhibitors of the BMP, TGFbeta, and WNT signaling pathways.; WGBS_Lib 20;sample common name: hESC Derived CD56+ Ectoderm Cultured Cells;sra sample accession: SRS360531;lineage: ectoderm;medium: Days 0-5: DMEM F12, 15% KSR, Dorsomorphin (2um), A83-01 (2um), PNU 74654 (2um);disease: presumed normal;passage: 21;line: CD56+ ectoderm;differentiation_method: adherence;batch: BioSAli 876;biomaterial_type: Cell Line;differentiation_stage: NA;Sex: Male;biomaterial_provider: Harvard;bisulfite_conversion_protocol: 2x5hrs Epitect Kit;dna_preparation_initial_dna_qnty: 5 ug;extraction_protocol_sonication_cycles: Covaris shearing, duty cycle 5%, intensity 5, cycles / burst 200, duration 9 minutes;dna_preparation_adaptor_ligation_protocol: T4 Ligase (2,000U/ul) 16C o/n;dna_preparation_adaptor_sequence: Illumina paired end adapter;library_generation_pcr_r_primer_sequence: PE1.0;dna_preparation_post-ligation_fragment_size_selection: 220-380;bisulfite_conversion_percent: 99.5%;extraction_protocol: Standard Protocol (Smith et al., Methods 48, 226-232);library_generation_pcr_primer_conc: 25uM;dna_preparation_fragment_size_range: 160-340;experiment_type: DNA Methylation;library_generation_pcr_thermocycling_program: Smith et al., Methods 48, 226-232;library_generation_pcr_product_isolation_protocol: SPRI Beads;library_generation_pcr_f_primer_sequence: PE2.0;library_generation_pcr_template_conc: NA;library_generation_pcr_polymerase_type: Pfu Turbo Cx hot start;library_generation_pcr_number_cycles: 5-8;extraction_protocol_type_of_sonicator: Covaris S2 (TM)",Bisulfite-Seq analysis of WGBS_Lib 20 derived from human CD56+ ectoderm cells; WGBS_Lib 20,Ectoderm_CD56+_presumed_normal,Ectoderm,2013-06-24,2013-04-02,20944595,"Bernstein BE,Meissner A","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/000/SRR1067550/SRR1067550_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/000/SRR1067550/SRR1067550_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/001/SRR1067551/SRR1067551_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/001/SRR1067551/SRR1067551_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/006/SRR1067556/SRR1067556_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/006/SRR1067556/SRR1067556_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/002/SRR1067552/SRR1067552_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/002/SRR1067552/SRR1067552_2.fastq.gz","e8dc4dc34d301612d093a308ea9e13e2,76d3842f06fd97e8e40c93266f9ae5eb,82fd047c5637e749797f6640b5c28a4d,61579850561fe424d173a0ea89dcb72f,2ff157236eab92b423aa30431ae23bb7,794fa28195e3a88e0e69dcb6a2d057f2,3fe794e7bce956e138f86f7e9f300363,a9f32c9033034ab9a2ef95dcd8da1a4f",99.4
GSM1112821,108.2G,69.6Gb,Illumina HiSeq 2000,SINGLE,WGBS,Homo sapiens,Broad Institute,"SRR1067553,SRR1067554,SRR1067555","CD56+ ectodermal germ layer cells derived in vitro from embrionic stem cells by culture in the presence of inhibitors of the BMP, TGFbeta, and WNT signaling pathways.; WGBS_Lib 21;sample common name: hESC Derived CD56+ Ectoderm Cultured Cells;sra sample accession: SRS360524;lineage: ectoderm;medium: Days 0-5: DMEM F12, 15% KSR, Dorsomorphin (2um), A83-01 (2um), PNU 74654 (2um);disease: presumed normal;passage: 21;line: CD56+ ectoderm;differentiation_method: adherence;batch: BioSAli 877;biomaterial_type: Cell Line;differentiation_stage: NA;Sex: Male;biomaterial_provider: Harvard;bisulfite_conversion_protocol: 2x5hrs Epitect Kit;dna_preparation_initial_dna_qnty: 5 ug;extraction_protocol_sonication_cycles: Covaris shearing, duty cycle 5%, intensity 5, cycles / burst 200, duration 9 minutes;dna_preparation_adaptor_ligation_protocol: T4 Ligase (2,000U/ul) 16C o/n;dna_preparation_adaptor_sequence: Illumina paired end adapter;library_generation_pcr_r_primer_sequence: PE1.0;dna_preparation_post-ligation_fragment_size_selection: 220-380;bisulfite_conversion_percent: 99.5%;extraction_protocol: Standard Protocol (Smith et al., Methods 48, 226-232);library_generation_pcr_primer_conc: 25uM;dna_preparation_fragment_size_range: 160-340;experiment_type: DNA Methylation;library_generation_pcr_thermocycling_program: Smith et al., Methods 48, 226-232;library_generation_pcr_product_isolation_protocol: SPRI Beads;library_generation_pcr_f_primer_sequence: PE2.0;library_generation_pcr_template_conc: NA;library_generation_pcr_polymerase_type: Pfu Turbo Cx hot start;library_generation_pcr_number_cycles: 5-8;extraction_protocol_type_of_sonicator: Covaris S2 (TM)",Bisulfite-Seq analysis of WGBS_Lib 21 derived from human CD56+ ectoderm cells; WGBS_Lib 21,Ectoderm_CD56+_presumed_normal,Ectoderm,2013-06-24,2013-04-02,20944595,"Bernstein BE,Meissner A","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/003/SRR1067553/SRR1067553_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/003/SRR1067553/SRR1067553_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/004/SRR1067554/SRR1067554_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/004/SRR1067554/SRR1067554_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/005/SRR1067555/SRR1067555_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/005/SRR1067555/SRR1067555_2.fastq.gz","5da3ad84afb456a128aff5f0848b8cd5,c2f9971e257bfa8c4f7bdc622408695c,e822d3169040b4090da3371c3336142a,20cdbbc5e374c8c93037868fcd0c4aa7,ac9ab6eb009d92a83ab043a44623174f,24266b874d7f55213448facbe6bca78f",99.32
GSM1112839,147G,93.9Gb,Illumina HiSeq 2000,SINGLE,WGBS,Homo sapiens,Broad Institute,"SRR1067566,SRR1067568,SRR1067569,SRR1067570","HUES64 differentiated with Activin A, BMP4, VEGF and bFGF for 24 hours, then with BMP4, VEGF and bFGF for an additional 4 days. ; WGBS_Lib 24;sample common name: hESC Derived CD56+ Mesoderm Cultured Cells;sra sample accession: SRS309498;lineage: mesoderm;medium: Day 0-1: DMEM F12, 0.5% FBS, Activin A (100ng/mL) BMP4 (100ng/mL), VEGF (100ng/mL), and bFGF (20ng/mL). Days 1-5: DMEM F12, 0.5% FBS, BMP4 (100ng/mL), VEGF (100ng/mL), and bFGF (20ng/mL);disease: presumed normal;passage: 23;line: CD56+ mesoderm;differentiation_method: adherence;batch: BioSAli 712;biomaterial_type: Cell Line;differentiation_stage: intermediate;Sex: Male;biomaterial_provider: Harvard;bisulfite_conversion_protocol: 2x5hrs Epitect Kit;dna_preparation_initial_dna_qnty: 5 ug;extraction_protocol_sonication_cycles: Covaris shearing, duty cycle 5%, intensity 5, cycles / burst 200, duration 9 minutes;dna_preparation_adaptor_ligation_protocol: T4 Ligase (2,000U/ul) 16C o/n;dna_preparation_adaptor_sequence: Illumina paired end adapter;library_generation_pcr_r_primer_sequence: PE1.0;dna_preparation_post-ligation_fragment_size_selection: 220-380;bisulfite_conversion_percent: 99.5%;extraction_protocol: Standard Protocol (Smith et al., Methods 48, 226-232);library_generation_pcr_primer_conc: 25uM;dna_preparation_fragment_size_range: 160-340;experiment_type: DNA Methylation;library_generation_pcr_thermocycling_program: Smith et al., Methods 48, 226-232;library_generation_pcr_product_isolation_protocol: SPRI Beads;library_generation_pcr_f_primer_sequence: PE2.0;library_generation_pcr_template_conc: NA;library_generation_pcr_polymerase_type: Pfu Turbo Cx hot start;library_generation_pcr_number_cycles: 5-8;extraction_protocol_type_of_sonicator: Covaris S2 (TM)",Bisulfite-Seq analysis of WGBS_Lib 24 derived from human CD56+ mesoderm cells; WGBS_Lib 24,Mesoderm_CD56+_presumed_normal,Mesoderm,2013-06-24,2013-04-02,20944595,"Bernstein BE,Meissner A","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/006/SRR1067566/SRR1067566_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/006/SRR1067566/SRR1067566_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/008/SRR1067568/SRR1067568_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/008/SRR1067568/SRR1067568_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/009/SRR1067569/SRR1067569_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/009/SRR1067569/SRR1067569_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/000/SRR1067570/SRR1067570_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/000/SRR1067570/SRR1067570_2.fastq.gz","fe0a31bfda804f71737191d9b80fa865,f3c6451f0616bae03946b04529ab5433,02196f6d5fc97164d29facca60d0d0cc,e4bb7ea18e8f7e8c88155ed3138d36d0,81e3954651b51c0a7b2eb47f976de592,0fc1260f971a027b25e1bae28d2b52e2,6c7ab5f9e760f37a124ff14ede6ca571,87d8828ab8ddb04d665413edc6294267",99.61
GSM1112840,164.9G,108Gb,Illumina HiSeq 2000,SINGLE,WGBS,Homo sapiens,Broad Institute,"SRR1067557,SRR1067560,SRR1067564,SRR1067567,SRR1067578","Harvard University ES Cell 64 AKA HUES 64; WGBS_Lib 26;sample alias: BioSam 806;sample common name: HUES64 Cell Line;lineage: NA;medium: HUES general media - KO DMEM, 20% KSR, bFGF (10ng/mL);disease: presumed normal;passage: 27;line: HUES64;differentiation_method: NA;batch: BioSAli 1012;biomaterial_type: Cell Line;differentiation_stage: undifferentiated;Sex: Male;biomaterial_provider: Harvard;bisulfite_conversion_protocol: 2x5hrs Epitect Kit;dna_preparation_initial_dna_qnty: 5 ug;extraction_protocol_sonication_cycles: Covaris shearing, duty cycle 5%, intensity 5, cycles / burst 200, duration 9 minutes;dna_preparation_adaptor_ligation_protocol: T4 Ligase (2,000U/ul) 16C o/n;dna_preparation_adaptor_sequence: Illumina paired end adapter;library_generation_pcr_r_primer_sequence: PE1.0;dna_preparation_post-ligation_fragment_size_selection: 270-370;bisulfite_conversion_percent: 99.5%;extraction_protocol: Standard Protocol (Smith et al., Methods 48, 226-232);library_generation_pcr_primer_conc: 25uM;dna_preparation_fragment_size_range: 150-250;experiment_type: DNA Methylation;library_generation_pcr_thermocycling_program: Smith et al., Methods 48, 226-232;library_generation_pcr_product_isolation_protocol: SPRI Beads;library_generation_pcr_f_primer_sequence: PE2.0;library_generation_pcr_template_conc: NA;library_generation_pcr_polymerase_type: Pfu Turbo Cx hot start;library_generation_pcr_number_cycles: 5-8;extraction_protocol_type_of_sonicator: Covaris S2 (TM)",Bisulfite-Seq analysis of WGBS_Lib 26 derived from human HUES64 cells; WGBS_Lib 26,hESCs_HUES64_presumed_normal,hESCs,2013-06-24,2013-04-02,20944595,"Bernstein BE,Meissner A","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/007/SRR1067557/SRR1067557_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/007/SRR1067557/SRR1067557_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/000/SRR1067560/SRR1067560_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/000/SRR1067560/SRR1067560_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/004/SRR1067564/SRR1067564_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/004/SRR1067564/SRR1067564_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/007/SRR1067567/SRR1067567_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/007/SRR1067567/SRR1067567_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/008/SRR1067578/SRR1067578_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/008/SRR1067578/SRR1067578_2.fastq.gz","1e274ae9af624dc0f55d1966c1007796,ef7618a5d1e647d5714344c42cf47b30,546008ea80591b7413b5aa59ac914879,cdc69ecf41e94400863226aab693e8f5,779113ee2fc1ac384ab9d1dc7d026d5c,3abbd6bc106985e72e3e1075286e3971,aa2edf0ed647e3197cfd8ece0cbfce65,bbec71aac8ebb993b89a312f21c45e60,4594d4faed1ae30170780757a42a81c5,95ee775392f5d98c70e9b3b7ad61d12f",98.81
GSM1112841,96.3G,62.3Gb,Illumina HiSeq 2000,SINGLE,WGBS,Homo sapiens,Broad Institute,"SRR1067562,SRR1067563,SRR1067565","Harvard University ES Cell 64 AKA HUES 64; WGBS_Lib 39;sample alias: BioSam 1122;sample common name: HUES64 Cell Line;lineage: NA;medium: HUES general media - KO DMEM, 20% KSR, bFGF (10ng/mL);disease: presumed normal;passage: 23;line: HUES64;differentiation_method: NA;batch: BioSAli 1345;biomaterial_type: Cell Line;differentiation_stage: undifferentiated;Sex: Male;biomaterial_provider: Harvard;bisulfite_conversion_protocol: 2x5hrs Epitect Kit;dna_preparation_initial_dna_qnty: 5 ug;extraction_protocol_sonication_cycles: Covaris shearing, duty cycle 5%, intensity 5, cycles / burst 200, duration 9 minutes;dna_preparation_adaptor_ligation_protocol: T4 Ligase (2,000U/ul) 16C o/n;dna_preparation_adaptor_sequence: Illumina paired end adapter;library_generation_pcr_r_primer_sequence: PE1.0;dna_preparation_post-ligation_fragment_size_selection: 240-400;bisulfite_conversion_percent: 99.5%;extraction_protocol: Standard Protocol (Smith et al., Methods 48, 226-232);library_generation_pcr_primer_conc: 25uM;dna_preparation_fragment_size_range: 120-280;experiment_type: DNA Methylation;library_generation_pcr_thermocycling_program: Smith et al., Methods 48, 226-232;library_generation_pcr_product_isolation_protocol: SPRI Beads;library_generation_pcr_f_primer_sequence: PE2.0;library_generation_pcr_template_conc: NA;library_generation_pcr_polymerase_type: Pfu Turbo Cx hot start;library_generation_pcr_number_cycles: 5-8;extraction_protocol_type_of_sonicator: Covaris S2 (TM)",Bisulfite-Seq analysis of WGBS_Lib 39 derived from human HUES64 cells; WGBS_Lib 39,hESCs_HUES64_presumed_normal,hESCs,2013-06-24,2013-04-02,20944595,"Bernstein BE,Meissner A","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/002/SRR1067562/SRR1067562_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/002/SRR1067562/SRR1067562_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/003/SRR1067563/SRR1067563_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/003/SRR1067563/SRR1067563_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/005/SRR1067565/SRR1067565_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/005/SRR1067565/SRR1067565_2.fastq.gz","cf34edd9852ba4840ec792e2e434486b,b80b8de96902fd2bb09fbef474d71aa5,a8c12b3ee693eddf9847c8b3a2d478a3,8bc9e65eadb1a4ea7db5552fe717eead,31c3f5450577a4fd892d4c06088d6148,cfc827afa9198a4747ea2b1ff66671e8",98.98
GSM1112842,108.9G,72Gb,Illumina HiSeq 2000,SINGLE,WGBS,Homo sapiens,Broad Institute,"SRR1067561,SRR1067559,SRR1067558","HUES64 differentiated with Activin A, BMP4, VEGF and bFGF for 24 hours, then with BMP4, VEGF and bFGF for an additional 4 days. ; WGBS_Lib 25;sample common name: hESC Derived CD56+ Mesoderm Cultured Cells;sra sample accession: SRS309499;lineage: mesoderm;medium: Day 0-1: DMEM F12, 0.5% FBS, Activin A (100ng/mL) BMP4 (100ng/mL), VEGF (100ng/mL), and bFGF (20ng/mL). Days 1-5: DMEM F12, 0.5% FBS, BMP4 (100ng/mL), VEGF (100ng/mL), and bFGF (20ng/mL);disease: presumed normal;passage: 26;line: CD56+ mesoderm;differentiation_method: adherence;batch: BioSAli 713;biomaterial_type: Cell Line;differentiation_stage: intermediate;Sex: Male;biomaterial_provider: Harvard;bisulfite_conversion_protocol: 2x5hrs Epitect Kit;dna_preparation_initial_dna_qnty: 5 ug;extraction_protocol_sonication_cycles: Covaris shearing, duty cycle 5%, intensity 5, cycles / burst 200, duration 9 minutes;dna_preparation_adaptor_ligation_protocol: T4 Ligase (2,000U/ul) 16C o/n;dna_preparation_adaptor_sequence: Illumina paired end adapter;library_generation_pcr_r_primer_sequence: PE1.0;dna_preparation_post-ligation_fragment_size_selection: 220-380;bisulfite_conversion_percent: 99.5%;extraction_protocol: Standard Protocol (Smith et al., Methods 48, 226-232);library_generation_pcr_primer_conc: 25uM;dna_preparation_fragment_size_range: 160-340;experiment_type: DNA Methylation;library_generation_pcr_thermocycling_program: Smith et al., Methods 48, 226-232;library_generation_pcr_product_isolation_protocol: SPRI Beads;library_generation_pcr_f_primer_sequence: PE2.0;library_generation_pcr_template_conc: NA;library_generation_pcr_polymerase_type: Pfu Turbo Cx hot start;library_generation_pcr_number_cycles: 5-8;extraction_protocol_type_of_sonicator: Covaris S2 (TM)",Bisulfite-Seq analysis of WGBS_Lib 25 derived from human CD56+ mesoderm cells; WGBS_Lib 25,Mesoderm_CD56+_presumed_normal,Mesoderm,2013-06-24,2013-04-02,20944595,"Bernstein BE,Meissner A","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/001/SRR1067561/SRR1067561_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/001/SRR1067561/SRR1067561_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/009/SRR1067559/SRR1067559_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/009/SRR1067559/SRR1067559_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/008/SRR1067558/SRR1067558_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/008/SRR1067558/SRR1067558_2.fastq.gz","4a70c8af4d0b64d6a53cd6f869a513ea,8b105036d7e0f12b35ab1cc2693a470f,2b78a5d9c546f7cf7b84b0869429564f,7ecd2201f59c9bad6c1b00d561744501,4971ec38c673b6f86cd04a4fd3a7042e,5692940df062b3ffd9676ff9bc2fe69e",99.59
GSM1112848,118.2G,77.2Gb,Illumina HiSeq 2000,SINGLE,WGBS,Homo sapiens,Broad Institute,"SRR1067575,SRR1067577,SRR1067576","CD184+ endoderm differentiated in vitro from stem cells; WGBS_Lib 19;cell_type: CD184+ endoderm cultured cells;sample alias: BioSam 705;sample common name: hESC Derived CD184+ Endoderm Cultured Cells;lineage: endoderm;medium: RPMI 100ng/mL Activin A 50ng/mL Wnt3a;disease: presumed normal;passage: 22;line: HUES64 derived CD184+;differentiation_method: in vitro culture;batch: BioSAli 875;biomaterial_type: Cell Line;differentiation_stage: differentiated;Sex: Male;biomaterial_provider: Harvard;bisulfite_conversion_protocol: 2x5hrs Epitect Kit;dna_preparation_initial_dna_qnty: 5 ug;extraction_protocol_sonication_cycles: Covaris shearing, duty cycle 5%, intensity 5, cycles / burst 200, duration 9 minutes;dna_preparation_adaptor_ligation_protocol: T4 Ligase (2,000U/ul) 16C o/n;dna_preparation_adaptor_sequence: Illumina paired end adapter;library_generation_pcr_r_primer_sequence: PE1.0;dna_preparation_post-ligation_fragment_size_selection: 220-380;bisulfite_conversion_percent: 99.5%;extraction_protocol: Standard Protocol (Smith et al., Methods 48, 226-232);library_generation_pcr_primer_conc: 25uM;dna_preparation_fragment_size_range: 160-340;experiment_type: DNA Methylation;library_generation_pcr_thermocycling_program: Smith et al., Methods 48, 226-232;library_generation_pcr_product_isolation_protocol: SPRI Beads;library_generation_pcr_f_primer_sequence: PE2.0;library_generation_pcr_template_conc: NA;library_generation_pcr_polymerase_type: Pfu Turbo Cx hot start;library_generation_pcr_number_cycles: 5-8;extraction_protocol_type_of_sonicator: Covaris S2 (TM)",Bisulfite-Seq analysis of WGBS_Lib 19 derived from human HUES64 derived CD184+ cells; WGBS_Lib 19,Endoderm_CD184+_presumed_normal,Endoderm,2013-06-24,2013-04-02,20944595,"Bernstein BE,Meissner A","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/005/SRR1067575/SRR1067575_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/005/SRR1067575/SRR1067575_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/007/SRR1067577/SRR1067577_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/007/SRR1067577/SRR1067577_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/006/SRR1067576/SRR1067576_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/006/SRR1067576/SRR1067576_2.fastq.gz","df0d2e52a0517f49824b25cd2a68970f,08279b51b6f833b4425de8924aa5e071,e85329cd4860a258988dc55e5a883507,22ec81c19f35b9bbc636e7bba24ec90d,45aa22d082e3fe3bc44c33adf68867ba,c6be46a329cadfa3c39126f430ee8f71",99.34
